--------- beginning of main
08-30 15:01:45.518 16566 16585 I jolt_raylib_gallery_state: {:frame 0, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :idle, :position nil}, :touches {:count 0, :ids [], :point-0 nil, :available-coordinates :none, :all-coordinates-available? false}, :gesture {:code 0}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :gallery, :selected-scene nil, :scene-frame nil, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 0, :hold-frames 0, :drag-samples 0, :close-requested? false}
08-30 15:01:47.218 16566 16585 I jolt_raylib_gallery_state: {:frame 50, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :press, :position [283 523]}, :touches {:count 1, :ids [0], :point-0 [283 523], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 1}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :scene, :selected-scene :following-eyes, :scene-frame 0, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 1, :hold-frames 1, :drag-samples 0, :close-requested? false}
08-30 15:01:47.251 16566 16585 I jolt_raylib_gallery_state: {:frame 51, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :release, :position [283 523]}, :touches {:count 0, :ids [], :point-0 [283 523], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 0}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :scene, :selected-scene :following-eyes, :scene-frame 1, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 1, :hold-frames 0, :drag-samples 0, :close-requested? false}
08-30 15:01:47.517 16566 16585 I jolt_raylib_gallery_state: {:frame 59, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :press, :position [40 40]}, :touches {:count 1, :ids [0], :point-0 [40 40], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 1}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :gallery, :selected-scene nil, :scene-frame nil, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 2, :hold-frames 1, :drag-samples 0, :close-requested? false}
08-30 15:01:47.548 16566 16585 I jolt_raylib_gallery_state: {:frame 60, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :release, :position [40 40]}, :touches {:count 0, :ids [], :point-0 [40 40], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 0}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :gallery, :selected-scene nil, :scene-frame nil, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 2, :hold-frames 0, :drag-samples 0, :close-requested? false}
08-30 15:01:47.880 16566 16585 I jolt_raylib_gallery_state: {:frame 70, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :press, :position [796 523]}, :touches {:count 1, :ids [0], :point-0 [796 523], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 1}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :scene, :selected-scene :touch-trail, :scene-frame 0, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 3, :hold-frames 1, :drag-samples 0, :close-requested? false}
08-30 15:01:47.917 16566 16585 I jolt_raylib_gallery_state: {:frame 71, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :release, :position [796 523]}, :touches {:count 0, :ids [], :point-0 [796 523], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 0}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :scene, :selected-scene :touch-trail, :scene-frame 1, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 3, :hold-frames 0, :drag-samples 0, :close-requested? false}
08-30 15:01:48.184 16566 16585 I jolt_raylib_gallery_state: {:frame 79, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :press, :position [40 40]}, :touches {:count 1, :ids [0], :point-0 [40 40], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 1}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :gallery, :selected-scene nil, :scene-frame nil, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 4, :hold-frames 1, :drag-samples 0, :close-requested? false}
08-30 15:01:48.219 16566 16585 I jolt_raylib_gallery_state: {:frame 80, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :release, :position [40 40]}, :touches {:count 0, :ids [], :point-0 [40 40], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 0}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :gallery, :selected-scene nil, :scene-frame nil, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 4, :hold-frames 0, :drag-samples 0, :close-requested? false}
08-30 15:01:48.547 16566 16585 I jolt_raylib_gallery_state: {:frame 90, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :press, :position [283 1215]}, :touches {:count 1, :ids [0], :point-0 [283 1215], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 1}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :scene, :selected-scene :flappy-bird, :scene-frame 0, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 5, :hold-frames 1, :drag-samples 0, :close-requested? false}
08-30 15:01:48.581 16566 16585 I jolt_raylib_gallery_state: {:frame 91, :metrics {:screen [1080 2400], :render [1080 2400], :dpi-scale [1 1], :orientation :portrait}, :pointer {:phase :release, :position [283 1215]}, :touches {:count 0, :ids [], :point-0 [283 1215], :available-coordinates :point-0, :all-coordinates-available? false}, :gesture {:code 0}, :keyboard {:activate? false, :previous? false, :next? false, :back? false}, :gallery-contract 1, :gallery-mode :scene, :selected-scene :flappy-bird, :scene-frame 1, :shared-model {:counter 0, :event-count 0, :lifecycle nil, :worker nil, :notification-permission nil, :platform nil}, :effects [], :last-event nil, :tap-count 5, :hold-frames 0, :drag-samples 0, :close-requested? false}
